Country Name,1960,1960 Male,1960 Female,1970,1970 Male,1970 Female,1980,1980 Male,1980 Female,1990,1990 Male,1990 Female,2000,2000 Male,2000 Female,2010,2010 Male,2010 Female,2020,2020 Male,2020 Female,2022,2022 Male,2022 Female
Lao PDR,2122532,1047533,1074999,2675283,1320168,1355114,3297519,1636637,1660882,4314443,2158369,2156074,5430853,2725901,2704952,6323418,3181861,3141557,7319399,3689825,3629574,7529475,3794678,3734796
Lebanon,1798092,905350,892742,2381791,1203454,1178338,2963702,1480934,1482768,3593700,1767344,1826355,4320642,2137718,2182925,4995800,2477872,2517928,5662923,2748285,2914639,5489739,2662356,2827383
Liberia,1137026,581810,555216,1463563,740762,722802,1932169,966472,965697,2209731,1095527,1114203,2895224,1424909,1470314,4019956,1988726,2031229,5087584,2531454,2556131,5302681,2640702,2661979
Libya,1426986,735014,691972,1909177,995857,913320,2962720,1582538,1380182,4236983,2265832,1971151,5154790,2712865,2441925,6491988,3300010,3191977,6653942,3369959,3283983,6812341,3447062,3365279
St. Lucia,91614,43962,47652,103090,49377,53714,121633,59355,62278,142301,70063,72238,159500,78831,80669,170935,85230,85705,179237,88826,90411,179857,88948,90909
Liechtenstein,16472,8025,8447,21089,10451,10638,25003,12389,12615,28765,14295,14470,33026,16258,16768,35926,17764,18162,38756,19223,19534,39327,19502,19825
Sri Lanka,9783871,5159694,4624178,12388769,6406116,5982653,14943645,7634256,7309389,17204094,8680922,8523172,18776371,9346333,9430039,20668557,10059778,10608780,21919000,10564472,11354528,22181000,10682766,11498234
Lesotho,737838,325063,412775,1023481,478954,544528,1407672,693999,713673,1798997,885455,913543,1998630,977454,1021176,2022747,991753,1030995,2254100,1112185,1141915,2305825,1137496,1168329
Lithuania,2778550,1287258,1491292,3139689,1477302,1662387,3413202,1606314,1806888,3697838,1739236,1958602,3499536,1626157,1873378,3097282,1423431,1673851,2794885,1309308,1485577,2831639,1329978,1501661
Luxembourg,313970,155086,158884,339171,166309,172862,364150,177856,186293,381850,187088,194761,436300,215218,221082,506953,252173,254780,630419,317212,313207,653103,328709,324394
Latvia,2120979,935219,1185760,2359164,1077154,1282009,2511701,1150421,1361280,2663151,1228833,1434317,2367550,1080560,1286989,2097555,955679,1141877,1900449,878681,1021768,1879383,871746,1007636
"Macao SAR, China",177014,88154,88859,247284,127190,120094,245332,125183,120149,350227,170710,179517,431896,207541,224355,557297,267356,289940,676283,317655,358628,695168,326180,368988
St. Martin (French part),4135,2026,2109,5802,2876,2926,7776,3888,3889,28127,14430,13697,29610,14448,15161,36458,17275,19183,32553,15477,17076,31791,15111,16680
Morocco,11769774,5875029,5894745,15274351,7648316,7626034,19678444,9824183,9854260,24570814,12271005,12299808,28554415,14279162,14275254,32464865,16297672,16167193,36688772,18474956,18213816,37457971,18852368,18605603
Monaco,21797,9780,12018,24270,11057,13213,27076,12592,14485,30329,14435,15894,32465,15791,16674,33178,16207,16971,36922,18095,18827,36469,17872,18596
Moldova,2074015,953227,1120788,2456514,1133577,1322937,2716068,1264339,1451730,2965978,1391294,1574683,2924668,1384963,1539705,2862354,1359655,1502700,2635130,1251834,1383296,2538894,1208783,1330111
Madagascar,5073342,2586559,2486782,6639751,3368753,3270999,8948162,4524048,4424114,11882762,5986073,5896690,16216431,8147724,8068707,21731053,10910952,10820101,28225177,14148424,14076752,29611714,14836218,14775496
Maldives,91650,50094,41555,123243,66112,57130,164887,87303,77584,224957,116993,107964,282507,145914,136593,361575,199169,162405,514438,297122,217316,523787,301315,222471
Mexico,36268055,18239142,18028913,50289306,25242786,25046519,67705186,33584396,34120789,81720428,40210868,41509560,97873442,47900060,49973382,112532401,55086407,57445993,125998302,61587451,64410851,127504125,62194954,65309171
Marshall Islands,15374,7877,7498,23969,12719,11251,31988,16313,15675,46047,23602,22445,54224,27814,26410,53416,27355,26061,43413,22190,21224,41569,21223,20346
North Macedonia,1462368,733351,729016,1656783,837604,819179,1907023,965935,941088,2044174,1037601,1006573,2026350,1019933,1006416,2055004,1026890,1028115,2072531,1033662,1038868,2057679,1025621,1032057
Mali,5346792,2705849,2640944,6153587,3094657,3058929,7372581,3693961,3678619,8945026,4494384,4450642,11239101,5670841,5568260,15529181,7844770,7684411,21224040,10718339,10505701,22593590,11406819,11186771
Malta,326550,156985,169565,302650,144933,157717,316645,154725,161920,354170,175180,178990,390087,193798,196289,414508,205890,208618,515332,266898,248434,531113,276869,254244
Myanmar,21720697,10880547,10840150,27284112,13676103,13608010,33465781,16778339,16687443,40099553,20097501,20002052,45538332,22768081,22770251,49390988,24658341,24732646,53423198,26606176,26817022,54179306,26962566,27216740
Montenegro,480579,229347,251232,512407,247011,265395,572608,279989,292619,606372,297571,308801,604950,293731,311220,619428,301687,317741,621306,302841,318464,617213,300543,316670
Mongolia,977903,486071,491832,1293880,645997,647882,1697780,848678,849102,2161433,1075781,1085652,2450979,1216362,1234617,2702520,1346373,1356147,3294335,1636094,1658241,3398366,1685387,1712979
Northern Mariana Islands,8702,4362,4340,10143,5190,4953,17613,9257,8357,48002,25276,22727,80338,38212,42127,54087,28107,25980,49587,26631,22956,49551,26635,22916
Mozambique,6788375,3319796,3468579,8411676,4174900,4236775,11413587,5583831,5829757,13303459,6479069,6824389,17768505,8655917,9112588,23073723,11236221,11837502,31178239,15293299,15884940,32969518,16176217,16793302
Mauritania,838478,415366,423111,1122198,558672,563527,1506694,751538,755155,2006027,1002426,1003601,2695003,1349905,1345099,3419461,1677917,1741544,4498604,2202418,2296186,4736139,2321228,2414911
Mauritius,676683,343446,333237,826000,417659,408341,966039,486137,479902,1058775,533959,524816,1186873,592881,593992,1250400,620864,629536,1266014,625161,640852,1262523,622533,639989
Malawi,3621081,1744786,1876295,4625141,2233465,2391677,6267369,3041298,3226071,9539665,4643501,4896164,11229387,5464600,5764787,14718422,7122580,7595842,19377061,9418758,9958303,20405317,9924861,10480456
Malaysia,7833782,3998586,3835196,10306508,5241436,5065072,13215707,6706385,6509322,17517054,8874067,8642988,22945150,11631359,11313791,28717731,14792312,13925419,33199993,16986172,16213821,33938221,17341833,16596389
Namibia,590181,284413,305768,754467,364127,390340,975994,472707,503286,1369011,663095,705916,1819141,880704,938437,2099271,1015983,1083287,2489098,1201660,1287438,2567012,1238563,1328449
New Caledonia,79000,41916,37084,112000,58830,53170,140050,72291,67758,170899,87249,83650,213230,108137,105093,249750,126309,123442,271080,135108,135971,269220,133887,135334
Niger,3497431,1651968,1845463,4669708,2263043,2406665,6173177,3040671,3132506,8370648,4182727,4187921,11622665,5854008,5768657,16647543,8427645,8219898,24333639,12342370,11991269,26207977,13293383,12914594
Nigeria,44928342,22418787,22509554,55569264,27736415,27832848,72951439,36556463,36394977,95214257,47821647,47392609,122851984,61748370,61103614,160952853,81066457,79886397,208327405,105243174,103084231,218541212,110448136,108093075
Nicaragua,1789684,892073,897611,2444767,1220555,1224212,3303309,1642284,1661025,4227820,2087657,2140163,5123222,2528472,2594751,5855734,2885079,2970655,6755895,3329347,3426548,6948392,3423787,3524605
Netherlands,11486631,5722531,5764100,13038526,6504765,6533762,14149800,7021922,7127878,14951510,7388352,7563158,15925513,7877546,8047967,16615394,8224707,8390687,17441500,8665375,8776125,17700982,8797815,8903166
Norway,3581239,1784129,1797110,3875763,1927895,1947868,4085620,2024716,2060904,4241473,2097163,2144309,4490967,2224232,2266735,4889252,2443786,2445466,5379475,2712935,2666540,5457127,2753603,2703524
Nepal,10167941,5100164,5067776,12501285,6315266,6186019,15600442,7920157,7680285,19616530,9968610,9647920,24559500,12397651,12161850,27161567,13260079,13901487,29348627,13980445,15368183,30547580,14646246,15901334
Nauru,4582,2917,1666,6663,3975,2688,7635,4390,3244,9598,5019,4579,10377,5354,5023,10241,5221,5020,12315,6266,6050,12668,6435,6233
New Zealand,2371800,1191787,1180013,2810700,1403630,1407069,3112900,1547938,1564961,3329800,1639624,1690176,3857700,1893809,1963891,4350700,2127776,2222924,5090200,2522257,2567944,5124100,2539990,2584111
Oman,536553,269239,267314,670693,335214,335479,1017462,517524,499938,1804524,1026621,777902,2344253,1343767,1000486,2881914,1708903,1173012,4543399,2820785,1722614,4576298,2785494,1790804
Pakistan,45954226,24795178,21159049,59290872,31594424,27696448,80624057,42323346,38300711,115414069,59844215,55569854,154369924,79746052,74623871,194454498,99987484,94467014,227196741,114815641,112381099,235824862,118960880,116863982
Panama,1126989,573380,553610,1516188,768741,747447,1956987,989870,967118,2449968,1234559,1215409,3001731,1508117,1493614,3623617,1816819,1806799,4294396,2148870,2145526,4408581,2204410,2204170
Peru,10172207,5114541,5057666,13562371,6821666,6740704,17492406,8754121,8738285,22109099,11028476,11080623,26654439,13290367,13364073,29229572,14545483,14684090,33304756,16499432,16805323,34049588,16857086,17192503
Philippines,28486871,14373150,14113720,37435586,18726386,18709200,48419546,24352778,24066768,61558898,31029508,30529390,77958223,39394372,38563851,94636700,47832279,46804421,112190977,56947945,55243033,115559009,58679278,56879731
Palau,9446,4773,4673,11366,5773,5593,12252,6361,5891,15293,8236,7058,19726,10767,8959,18540,9830,8710,17972,9377,8595,18055,9376,8679
Papua New Guinea,1985666,1051395,934271,2489059,1318606,1170454,3104788,1643752,1461036,3864972,2050970,1814003,5508297,2876874,2631423,7583269,3947886,3635383,9749640,5039466,4710175,10142619,5232314,4910305
Poland,29637450,14337906,15299544,32664300,15873984,16790316,35574150,17337360,18236790,38110782,18569700,19541082,38258629,18574609,19684019,38042794,18424911,19617883,37899070,18334153,19564918,36821749,17826176,18995573
Puerto Rico,2358000,1166961,1191039,2718000,1330533,1387467,3206000,1559298,1646701,3537000,1712987,1824012,3810605,1834657,1975948,3721525,1782757,1938768,3281557,1552570,1728988,3221789,1519697,1702091
"Korea, Dem. People's Rep.",11655666,5279622,6376044,14996879,7032909,7963970,17973650,8592166,9381485,20799523,10057190,10742334,23367059,11378028,11989032,24686435,12070099,12616337,25867467,12778255,13089212,26069416,12905119,13164298
Portugal,8857716,4237624,4620092,8680431,4121322,4559110,9766312,4700239,5066073,9983218,4808705,5174513,10289898,4962453,5327445,10573100,5056705,5516395,10297081,4859349,5437732,10409704,4911677,5498027
Paraguay,1894829,939417,955413,2408787,1199976,1208811,3078912,1552451,1526461,4059195,2052617,2006578,5123819,2589005,2534814,5768613,2904393,2864220,6618695,3323985,3294711,6780744,3402132,3378612
West Bank and Gaza,,,,,,,,,,1978248,993208,985040,2922153,1471744,1450409,3786161,1888398,1897763,4803269,2394860,2408409,5043612,2516444,2527169
Pacific island small states,905537,469620,435919,1180979,608753,572224,1454737,745988,708748,1776243,908031,868213,2035672,1039861,995807,2301401,1170536,1130865,2566819,1295071,1271751,2639019,1330733,1308286
French Polynesia,84851,43740,41111,117891,60743,57148,163591,86029,77563,211089,110222,100868,250927,129619,121308,283788,145253,138535,301920,152872,149048,306279,154794,151485
Qatar,36385,18541,17844,118007,68845,49162,277450,186499,90951,441675,298156,143518,645937,433815,212122,1713504,1297966,415537,2760385,2005391,754994,2695122,1954233,740889
Romania,18406905,8950251,9456654,20250398,9870886,10379511,22207282,10832521,11374761,23201835,11327418,11874417,22442971,10871696,11571276,20246871,9804746,10442125,19265250,9320317,9944933,19047009,9213326,9833682
Russian Federation,119897000,53715149,66181851,130404000,59420718,70983282,139010000,64074770,74935230,147969407,69334125,78635282,146596869,68464819,78132050,142849468,66053102,76796366,144073139,66925854,77147284,144236933,66987198,77249735
Rwanda,2966162,1469241,1496920,3896367,1938390,1957976,5247532,2616733,2630799,7319962,3644062,3675901,8109989,3904282,4205706,10309031,4989230,5319801,13146362,6423145,6723217,13776698,6741039,7035658
Saudi Arabia,4165563,2112675,2052887,6106191,3138500,2967691,10171710,5570413,4601297,16004763,9114257,6890505,21547390,12317247,9230142,29411929,16865108,12546820,35997107,20886852,15110254,36408820,20979233,15429586
Sudan,8326462,4189386,4137077,11305206,5660726,5644479,16673586,8472867,8200719,21090886,10718531,10372354,26298773,13231789,13066984,33739933,16888820,16851113,44440486,22209433,22231053,46874204,23420005,23454198
Senegal,3273177,1633688,1639489,4367744,2211972,2155773,5703869,2868004,2835865,7536001,3746257,3789744,9704287,4786669,4917618,12530121,6159215,6370907,16436120,8076926,8359194,17316449,8516043,8800406
Singapore,1646400,828888,817512,2074507,1068642,1005864,2413945,1231982,1181963,3047132,1527565,1519568,4027887,2058118,1969770,5076732,2638441,2438290,5685807,2972860,2712947,5637022,2947974,2689047
Solomon Islands,133440,71005,62435,172833,92084,80749,233668,122977,110691,324171,168581,155589,429978,222168,207810,540394,277024,263369,691191,353241,337950,724273,369899,354373
Sierra Leone,2301310,1128802,1172508,2778557,1366322,1412235,3367477,1662074,1705403,4325388,2143994,2181394,4584067,2275881,2308186,6436698,3215628,3221070,8233970,4124768,4109203,8605718,4312192,4293526
El Salvador,2779327,1374363,1404964,3619090,1810396,1808694,4508992,2230764,2278228,5367179,2604746,2762433,5958482,2869807,3088675,6114034,2922675,3191359,6292731,2997430,3295300,6336392,3016535,3319856
San Marino,15556,7873,7684,18169,9274,8894,21346,10663,10683,23132,11328,11805,26823,13120,13702,31608,15470,16137,34007,16563,17444,33660,16380,17281
Somalia,2870732,1429176,1441556,3720977,1856359,1864619,5892224,2944488,2947735,6999096,3492296,3506800,8721465,4358791,4362674,12026649,6026604,6000046,16537016,8290471,8246544,17597511,8822442,8775069
Serbia,6608000,3152821,3455179,6972000,3362520,3609480,7362000,3571391,3790609,7586000,3678949,3907051,7516346,3628454,3887892,7291436,3505105,3786331,6899126,3307322,3591804,6664449,3194331,3470118
South Sudan,2907724,1444785,1462938,3342410,1613595,1728814,4192012,2043099,2148913,4750817,2314069,2436748,6114440,2965961,3148479,9714419,4789793,4924626,10606227,5248072,5358155,10913164,5404538,5508626
Sao Tome and Principe,68038,38316,29723,77583,40209,37374,97210,49157,48053,120343,59831,60512,143714,71620,72094,182138,90858,91281,218641,109112,109528,227380,113407,113972
Suriname,268396,134585,133811,379918,192382,187536,375112,187563,187549,412756,205650,207106,478998,240845,238153,546080,274293,271788,607065,302656,304409,618040,307625,310416
Slovak Republic,4068095,2009173,2058921,4538223,2240239,2297985,4979815,2448445,2531371,5299187,2587936,2711251,5388720,2618082,2770637,5391428,2623393,2768035,5458827,2665719,2793108,5431752,2654098,2777654
Slovenia,1584720,751885,832835,1724891,829725,895166,1901315,918146,983168,1998161,963666,1034494,1988925,967614,1021311,2048583,1012012,1036572,2102419,1055356,1047063,2111986,1061664,1050321
Sweden,7484656,3734741,3749915,8042801,4015240,4027560,8310531,4118146,4192385,8558835,4227905,4330930,8872109,4386578,4485532,9378126,4670485,4707641,10353442,5211232,5142210,10486941,5285164,5201777
Eswatini,345065,166980,178085,442865,211931,230934,598564,284377,314187,854011,411659,442351,1030496,496570,533927,1099920,533566,566355,1180655,585916,594739,1201670,596167,605504
Sint Maarten (Dutch part),2646,1258,1387,6260,3134,3127,12243,6034,6210,27845,13808,14037,30519,14902,15617,34056,16127,17929,42310,22579,19731,42848,22939,19909
Seychelles,41700,20678,21022,53600,26992,26607,63261,31795,31465,69507,34757,34750,81131,40792,40339,89770,46283,43487,98462,51864,46598,119878,63113,56766
Syrian Arab Republic,4610712,2366122,2244590,6319199,3226063,3093137,8898954,4528252,4370703,12408996,6294282,6114715,16307654,8251720,8055934,22337563,11277036,11060526,20772595,10407665,10364931,22125249,11078628,11046621
Turks and Caicos Islands,5604,2530,3075,5665,2716,2950,7598,3746,3852,11709,6066,5642,18744,9610,9134,29726,15098,14627,44276,22325,21952,45703,23006,22697
Chad,3028688,1495228,1533459,3667394,1810190,1857204,4408230,2176466,2231763,5827069,2876884,2950185,8259137,4111592,4147546,11894727,5958154,5936573,16644701,8355035,8289666,17723315,8896002,8827313
Togo,1651367,814226,837141,2197383,1085717,1111666,2838110,1407774,1430336,3875947,1925696,1950251,5008035,2495124,2512911,6571855,3289956,3281899,8442580,4243063,4199517,8848699,4448225,4400474
Thailand,26596584,13322093,13274492,35791728,17962802,17828927,45737753,22937469,22800284,55228410,27614883,27613526,63066603,31072431,31994172,68270489,33511372,34759118,71475664,34769467,36706197,71697030,34806096,36890933
Tajikistan,2131992,1042893,1089098,2993019,1475598,1517421,4045965,2010688,2035277,5417860,2660318,2757542,6272998,3079596,3193403,7621779,3804994,3816785,9543207,4801489,4741717,9952787,5008732,4944055
Turkmenistan,1602052,781511,820540,2201432,1078399,1123033,2862903,1410591,1452313,3720278,1819653,1900626,4569132,2249823,2319309,5267970,2601133,2666836,6250438,3096157,3154282,6430770,3185860,3244911
Timor-Leste,468573,235666,232907,554021,277851,276170,642224,329837,312387,758106,394823,363283,878360,451478,426881,1088486,558338,530149,1299995,662972,637023,1341296,683957,657338
Tonga,67428,34564,32864,86484,44459,42025,96708,49327,47382,98727,49999,48727,102603,52142,50460,107383,54070,53313,105254,52093,53161,106858,52848,54010
Trinidad and Tobago,847063,425209,421854,988890,487155,501736,1127852,557737,570115,1266518,627298,639221,1332203,659662,672541,1410296,696056,714240,1518147,749174,768972,1531044,755090,775955
Tunisia,4195467,2108763,2086704,5047404,2534779,2512624,6578156,3310559,3267597,8440023,4249761,4190262,9893316,4960458,4932858,10895063,5422169,5472893,12161723,6012828,6148895,12356117,6098372,6257745
Turkiye,27510980,14019307,13491673,35540990,17988319,17552672,44089069,22366413,21722656,54324142,27401908,26922234,64113547,32245997,31867550,73142150,36733465,36408685,83384680,41806571,41578108,84979913,42581376,42398537
Tuvalu,5404,2635,2769,5814,2681,3132,7731,3592,4138,9182,4410,4773,9638,4769,4869,10550,5404,5146,11069,5702,5367,11312,5799,5513
Tanzania,10042458,4938264,5104194,13618192,6732259,6885932,19297659,9563367,9734292,26206012,12959424,13246588,34463704,17040809,17422895,45110527,22176064,22934464,61704518,30475454,31229064,65497748,32370931,33126817
Uganda,7617746,3848251,3769494,10317212,5146530,5170682,13284026,6543396,6740630,17586630,8574406,9012225,24020697,11750782,12269915,32341728,15916868,16424860,44404611,21973090,22431520,47249585,23401332,23848253
Ukraine,42767251,19038682,23728570,47279086,21356667,25922418,49973920,22830419,27143500,51891400,23991904,27899496,49176500,22773527,26402974,45870741,21150737,24720003,44132049,20435096,23696954,38000000,17449249,20550751
Uruguay,2529021,1266689,1262332,2790265,1385850,1404415,2953750,1451029,1502721,3117012,1521058,1595955,3292224,1594941,1697283,3352651,1617051,1735600,3429086,1660166,1768921,3422794,1658372,1764421
United States,180671000,89542830,91128169,205052000,100269988,104782012,227225000,110831607,116393393,249623000,122205009,127417991,282162411,138910694,143251716,309327143,152358841,156968302,331511512,164308503,167203010,333287557,165021339,168266219
Uzbekistan,8372311,4055739,4316573,12011361,5898546,6112815,15947129,7910937,8036193,20510000,10264719,10245281,24650400,12329367,12321034,28562400,14268347,14294052,34232050,17124410,17107641,35648100,17838536,17809564
St. Vincent and the Grenadines,84141,39903,44238,98459,48551,49907,107480,54599,52880,112487,56879,55609,113813,58002,55810,109308,55967,53341,104632,53434,51199,103948,52928,51020
"Venezuela, RB",8156937,4118227,4038709,11355475,5709147,5646328,15210443,7629967,7580477,19750579,9900476,9850103,24427729,12241951,12185778,28715022,14321888,14393135,28490453,14113760,14376694,28301696,13996791,14304904
British Virgin Islands,7850,3897,3954,9581,5075,4505,11109,5714,5395,15617,8017,7599,20104,10327,9777,27556,13556,14001,30910,14900,16010,31305,15062,16242
Virgin Islands (U.S.),32500,16373,16128,63476,31689,31786,99636,47752,51885,103963,50512,53452,108642,51887,56755,108357,51796,56560,106290,49866,56425,105413,49137,56275
Viet Nam,32718461,16089652,16628809,41928849,20542041,21386807,52968270,25814547,27153723,66912613,32660517,34252096,79001142,38652066,40349076,87411012,43048310,44362702,96648685,47726158,48922527,98186856,48501287,49685569
Vanuatu,64608,34828,29780,87019,45718,41300,118156,62318,55839,150882,77382,73501,192074,97832,94242,245453,124029,121424,311685,156782,154903,326740,164308,162433
Samoa,113335,58407,54929,142771,73820,68951,164905,85416,79488,168186,88451,79735,184008,95721,88287,194672,100075,94597,214929,109634,105296,222382,113375,109007
Kosovo,947000,480530,466471,1219000,619445,599556,1521000,780625,740374,1862000,953243,908756,1700000,872204,827796,1775680,888023,887657,1790133,892592,897541,1761985,878107,883877
"Yemen, Rep.",5542459,2766233,2776227,6843607,3391008,3452599,9204938,4584436,4620502,13375121,6705257,6669864,18628700,9391539,9237162,24743946,12518994,12224951,32284046,16320979,15963067,33696614,17023203,16673411
South Africa,16520441,8502461,8017980,22368306,11297621,11070685,29463549,15277164,14186385,39877570,19422611,20454959,46813266,22221377,24591889,51784921,24927507,26857414,58801927,28580784,30221143,59893885,29168006,30725879
Zambia,3119430,1544463,1574966,4281671,2109732,2171939,5720438,2776308,2944130,7686401,3713668,3972733,9891136,4762771,5128364,13792086,6765898,7026189,18927715,9338613,9589102,20017675,9877642,10140033
Zimbabwe,3806310,1883976,1922334,5202918,2561796,2641122,7049926,3372896,3677030,10113893,4866042,5247850,11834676,5621605,6213071,12839771,6034165,6805605,15669666,7385220,8284447,16320537,7705601,8614935
